SAQ_Channel_Numbers,Resets_Averaged_by_Area,Raw_Number_of_Resets
1.0,9.325484953388312,12.0
2.0,5.025738918014592,28.0
3.0,6.534871675711075,55.0
4.0,6.613179763602441,98.0
5.0,6.95974585424354,159.0
6.0,4.761281078766999,137.0
7.0,3.8868663513029222,139.0
8.0,3.1061051057462348,198.0
9.0,1.4472589910500544,113.0
10.0,0.3503869532127072,57.0
11.0,0.07376452449131933,32.0
12.0,0.07783606928526945,46.0
13.0,0.04118366639848572,31.0
14.0,0.027270917594469098,25.0
15.0,0.0,0.0
16.0,0.0,0.0
