SAQ_Channel_Numbers,Resets_Averaged_by_Area,Raw_Number_of_Resets
1.0,4.662742476694156,6.0
2.0,2.692360134650674,15.0
3.0,5.940792432464614,50.0
4.0,8.16525256526424,121.0
5.0,9.192117165982035,210.0
6.0,5.386850855539305,155.0
7.0,2.8242697948316198,101.0
8.0,1.0824305671539909,69.0
9.0,1.1142613470916347,87.0
10.0,0.5163597205239896,84.0
11.0,0.13369820064051627,58.0
12.0,0.11675410392790418,69.0
13.0,0.05845423617849586,44.0
14.0,0.026180080890690335,24.0
15.0,0.0,0.0
16.0,0.00034908063784377187,1.0
