SAQ_Channel_Numbers,Resets_Averaged_by_Area,Raw_Number_of_Resets
1.0,5.439866222809849,7.0
2.0,3.0513414859374306,17.0
3.0,5.584344886516737,47.0
4.0,6.140809780487982,91.0
5.0,6.6095699622061295,151.0
6.0,4.239972931456744,122.0
7.0,2.8242697948316198,101.0
8.0,1.3334289595375248,85.0
9.0,0.8196865082053405,64.0
10.0,0.30735697650237476,50.0
11.0,0.08298509005273424,36.0
12.0,0.07106771543437645,42.0
13.0,0.037198150295406456,28.0
14.0,0.017453387260460224,16.0
15.0,0.0,0.0
16.0,0.0,0.0
