SAQ_Channel_Numbers,Resets_Averaged_by_Area,Raw_Number_of_Resets
1.0,6.994113715041235,9.0
2.0,3.0513414859374306,17.0
3.0,5.940792432464614,50.0
4.0,7.692882582149779,114.0
5.0,8.40422140889786,192.0
6.0,5.074065967153152,146.0
7.0,2.9640851312094227,106.0
8.0,1.192242363821787,76.0
9.0,0.9861853301845502,77.0
10.0,0.4364469066333721,71.0
11.0,0.11525706951768644,50.0
12.0,0.09983321930067168,59.0
13.0,0.05048320397233733,38.0
14.0,0.02181673407557528,20.0
15.0,0.0,0.0
16.0,0.0,0.0
