SAQ_Channel_Numbers,Resets_Averaged_by_Area,Raw_Number_of_Resets
1.0,10.879732445619698,14.0
2.0,5.564210944944727,31.0
3.0,7.247766767606829,61.0
4.0,7.287994025194528,108.0
5.0,7.4850096922996565,171.0
6.0,5.352096979051955,154.0
7.0,4.418164629538573,158.0
8.0,3.3884782971777105,216.0
9.0,2.6639811516673566,208.0
10.0,0.4548883252235146,74.0
11.0,0.08298509005273424,36.0
12.0,0.0761439808225462,45.0
13.0,0.05048320397233733,38.0
14.0,0.040360958039814265,37.0
15.0,0.0,0.0
16.0,0.0,0.0
