SAQ_Channel_Numbers,Resets_Averaged_by_Area,Raw_Number_of_Resets
1.0,9.325484953388312,12.0
2.0,4.666757566727835,26.0
3.0,6.534871675711075,55.0
4.0,6.478216911284025,96.0
5.0,6.697113935215482,153.0
6.0,4.691773325792298,135.0
7.0,3.80297714947624,136.0
8.0,2.7296075171709333,174.0
9.0,1.8571022451527246,145.0
10.0,0.31350411603242223,51.0
11.0,0.06915424171061187,30.0
12.0,0.07445189235982295,44.0
13.0,0.033212634192327194,25.0
14.0,0.020725897371796514,19.0
15.0,0.0,0.0
16.0,0.0,0.0
