SAQ_Channel_Numbers,Resets_Averaged_by_Area,Raw_Number_of_Resets
1.0,9.325484953388312,12.0
2.0,4.487266891084457,25.0
3.0,6.77250337300966,57.0
4.0,7.018068320557694,104.0
5.0,7.3536937327856275,168.0
6.0,4.726527202279648,136.0
7.0,3.80297714947624,136.0
8.0,2.1962359333559234,140.0
9.0,1.2039145589265938,94.0
10.0,0.2889155579122322,47.0
11.0,0.08067994866238051,35.0
12.0,0.07106771543437645,42.0
13.0,0.0425121717661788,32.0
14.0,0.02181673407557528,20.0
15.0,0.0,0.0
16.0,0.0,0.0
