SAQ_Channel_Numbers,Resets_Averaged_by_Area,Raw_Number_of_Resets
1.0,6.2169899689255415,8.0
2.0,2.8718508102940525,16.0
3.0,5.465529037867445,46.0
4.0,6.680661189761651,99.0
5.0,7.4850096922996565,171.0
6.0,4.622265572817597,133.0
7.0,2.796306727556059,100.0
8.0,1.2236171628697288,78.0
9.0,0.8581093132774659,67.0
10.0,0.36882837180284966,60.0
11.0,0.09681593839485661,42.0
12.0,0.0896806885243322,53.0
13.0,0.0425121717661788,32.0
14.0,0.01963506066801775,18.0
15.0,0.0,0.0
16.0,0.0,0.0
