SAQ_Channel_Numbers,Resets_Averaged_by_Area,Raw_Number_of_Resets
1.0,6.2169899689255415,8.0
2.0,3.0513414859374306,17.0
3.0,5.584344886516737,47.0
4.0,5.938365502010356,88.0
5.0,6.303166056673395,144.0
6.0,4.100957425507342,118.0
7.0,2.796306727556059,100.0
8.0,1.443240756205321,92.0
9.0,0.8453017115867574,66.0
10.0,0.2766212788521373,45.0
11.0,0.07606966588167305,33.0
12.0,0.06599145004620671,39.0
13.0,0.033212634192327194,25.0
14.0,0.018544223964238986,17.0
15.0,0.0,0.0
16.0,0.0,0.0
