SAQ_Channel_Numbers,Resets_Averaged_by_Area,Raw_Number_of_Resets
1.0,5.439866222809849,7.0
2.0,2.8718508102940525,16.0
3.0,5.465529037867445,46.0
4.0,7.287994025194528,108.0
5.0,8.40422140889786,192.0
6.0,4.8307888317417,139.0
7.0,2.712417525729377,97.0
8.0,1.0667431676300199,68.0
9.0,0.9093397200402996,71.0
10.0,0.4180054880432296,68.0
11.0,0.10603650395627152,46.0
12.0,0.10660157315156468,63.0
13.0,0.0531402147077235,40.0
14.0,0.02508924418691157,23.0
15.0,0.0,0.0
16.0,0.0,0.0
