SAQ_Channel_Numbers,Resets_Averaged_by_Area,Raw_Number_of_Resets
1.0,16.3195986568838,21.0
2.0,4.705898063239224,26.0
3.0,7.44441141414935,63.0
4.0,8.232733965321701,122.0
5.0,8.841941282883075,202.0
6.0,5.317343107293116,153.0
7.0,3.439457271608557,123.0
8.0,1.7099265476981291,109.0
9.0,1.703411024030877,133.0
10.0,0.8235721977786232,134.0
11.0,0.2166832906249185,94.0
12.0,0.20135852705095816,119.0
13.0,0.11690847238803657,88.0
14.0,0.06326852880037256,58.0
15.0,0.0,0.0
16.0,0.0006984787245638994,2.0
