SAQ_Channel_Numbers,Resets_Averaged_by_Area,Raw_Number_of_Resets
1.0,23.31371236697686,30.0
2.0,6.153866698082062,34.0
3.0,9.453220843364253,80.0
4.0,10.392139595570017,154.0
5.0,10.986768623780456,251.0
6.0,6.6032365384685745,190.0
7.0,4.082607818332108,146.0
8.0,1.945237540500624,124.0
9.0,2.0876390745641578,163.0
10.0,1.1431673790061487,186.0
11.0,0.35268663261289923,153.0
12.0,0.4044091425645294,239.0
13.0,0.28695715949790795,216.0
14.0,0.31307013389149874,287.0
15.0,0.0,0.0
16.0,0.0006984787245638994,2.0
