SAQ_Channel_Numbers,Resets_Averaged_by_Area,Raw_Number_of_Resets
1.0,138.32802671072935,178.0
2.0,29.864353093633536,165.0
3.0,29.42314987497124,249.0
4.0,21.526574876537893,319.0
5.0,17.377478659923668,397.0
6.0,10.947471103250532,315.0
7.0,8.752440048890069,313.0
8.0,5.318028437336383,339.0
9.0,5.571306732732568,435.0
10.0,2.9562554263546104,481.0
11.0,1.044229049500937,453.0
12.0,1.5414925894405285,911.0
13.0,1.3112347982612738,987.0
14.0,1.462812019332752,1341.0
15.0,0.0,0.0
16.0,0.0006984787245638994,2.0
