SAQ_Channel_Numbers,Resets_Averaged_by_Area,Raw_Number_of_Resets
1.0,10.879732437922533,14.0
2.0,3.981913745817805,22.0
3.0,6.026428287644712,51.0
4.0,7.557919705869104,112.0
5.0,7.528781686415292,172.0
6.0,4.7265272064827695,136.0
7.0,3.0759373973735062,110.0
8.0,1.553052552496466,99.0
9.0,1.4728741937109087,115.0
10.0,0.6637746071648605,108.0
11.0,0.1844113111701434,80.0
12.0,0.1692088462613094,100.0
13.0,0.08369583818688982,63.0
14.0,0.04799681495200678,44.0
15.0,0.0,0.0
16.0,0.0003492393622819497,1.0
