SAQ_Channel_Numbers,Resets_Averaged_by_Area,Raw_Number_of_Resets
1.0,12.433979929054324,16.0
2.0,3.981913745817805,22.0
3.0,6.617254590354977,56.0
4.0,8.570141095048001,127.0
5.0,8.973257242529854,205.0
6.0,5.247835354256604,151.0
7.0,3.411494204359707,122.0
8.0,1.7256139472182954,110.0
9.0,1.9723706594041734,154.0
10.0,1.0079540331021957,164.0
11.0,0.26739640119670793,116.0
12.0,0.2453528270788986,145.0
13.0,0.11425146165194483,86.0
14.0,0.06872271231764607,63.0
15.0,0.0,0.0
16.0,0.0006984787245638994,2.0
